Season,HomeTeam,AwayTeam,Number In,Number Out,Average Age of Departures,Average Age of Arrivals,Total Market Value Departures (millions),Total Market Value Arrivals (millions),Income (millions),Expenditures (millions)
2018,Manchester City,Manchester City,18,21,22.1,22.8,51.66,72.36,48.69,69.38
2018,Manchester United,Manchester United,8,10,24.7,23.6,46.35,54.9,31.82,74.43
2018,Tottenham Hotspur,Tottenham Hotspur,3,4,22.3,23.8,26.1,12.15,4.95,0
2018,Liverpool FC,Liverpool FC,10,15,24.3,24.6,92.34,204.53,34.65,163.98
2018,Chelsea FC,Chelsea FC,26,28,24.3,24.3,359.55,338.85,49.28,189
2018,Arsenal FC,Arsenal FC,15,12,26.1,25.1,53.73,106.38,5.76,73.35
2018,Burnley FC,Burnley FC,6,8,27.6,28.8,16.2,27.45,7.2,29.7
2018,Everton FC,Everton FC,18,22,25.6,24.7,130.28,164.03,21.42,89.82
2018,Leicester City,Leicester City,14,18,26.4,23.5,132.3,111.38,86.22,103.14
2018,Newcastle United,Newcastle United,20,22,24.8,25.6,94.75,86.78,38.99,53.78
2018,Crystal Palace,Crystal Palace,12,17,26.9,25.4,73.93,88.55,0,11.85
2018,AFC Bournemouth,AFC Bournemouth,16,17,26.5,24.1,54.05,73.3,20.2,89.1
2018,West Ham United,West Ham United,19,15,23.9,24.9,68,143.7,14,105.35
2018,Watford FC,Watford FC,23,23,25.3,23.5,80.98,47.78,51.84,30.1
2018,Brighton & Hove Albion,Brighton & Hove Albion,24,26,26.3,23.7,40.75,72.48,13.4,86.26
2018,Huddersfield Town,Huddersfield Town,15,17,25.9,24.2,47.75,47.65,12.33,50.7
2018,Southampton FC,Southampton FC,16,18,26.1,24.1,98.5,49.4,23.9,62.25
2018,Wolverhampton Wanderers,Wolverhampton Wanderers,34,45,24,24.2,99.5,149.08,23.05,112.25
2018,Cardiff City,Cardiff City,17,16,27.4,25.9,19.3,55.4,0,51.2
2018,Fulham FC,Fulham FC,19,11,24.5,25.1,36,165.25,4.5,112
2017,Manchester City,Manchester City,33,34,23.9,22.8,185.4,261.55,91.35,317.5
2017,Manchester United,Manchester United,13,11,24.4,22.8,79.25,198.35,45.5,198.4
2017,Tottenham Hotspur,Tottenham Hotspur,14,11,22.9,23.2,96,120.75,103.8,121.5
2017,Liverpool FC,Liverpool FC,13,14,25,22.9,168.55,124.58,184.5,168.03
2017,Chelsea FC,Chelsea FC,39,30,23.8,23.2,257.3,325.45,200.6,260.6
2017,Arsenal FC,Arsenal FC,10,16,26.1,24.4,217.5,184.7,156.2,152.85
2017,Burnley FC,Burnley FC,17,18,25.6,26.3,46.3,41.4,50,35.74
2017,Everton FC,Everton FC,24,21,25.1,23.4,167,194.75,126.48,203.2
