Club,Squad,Age,Foreigners,Total Market Value,Average Market Value
Manchester City,44,"24,7",36,"621,40 Mill. €","14,12 Mill. €"
Chelsea FC,49,"23,8",41,"603,30 Mill. €","12,31 Mill. €"
Manchester United FA Cup Winner 15/16,42,"23,5",24,"533,25 Mill. €","12,70 Mill. €"
Arsenal FC,42,"23,7",26,"522,75 Mill. €","12,45 Mill. €"
Liverpool FC,38,"23,4",23,"394,15 Mill. €","10,37 Mill. €"
Tottenham Hotspur,38,"22,7",20,"385,50 Mill. €","10,14 Mill. €"
Everton FC,39,"24,9",22,"284,35 Mill. €","7,29 Mill. €"
West Ham United,44,"23,7",27,"240,78 Mill. €","5,47 Mill. €"
Crystal Palace,45,"25,1",26,"215,70 Mill. €","4,79 Mill. €"
Southampton FC,36,"24,4",19,"214,25 Mill. €","5,95 Mill. €"
Stoke City,34,"26,1",27,"193,25 Mill. €","5,68 Mill. €"
Watford FC,46,"25,8",36,"189,35 Mill. €","4,12 Mill. €"
Leicester City English Champion 15/16,31,"25,6",21,"175,00 Mill. €","5,65 Mill. €"
Swansea City,37,"25,9",34,"137,10 Mill. €","3,71 Mill. €"
Hull City  ,42,"25,0",22,"132,95 Mill. €","3,17 Mill. €"
Middlesbrough FC  ,35,"26,3",21,"121,75 Mill. €","3,48 Mill. €"
West Bromwich Albion,30,"26,3",17,"115,10 Mill. €","3,84 Mill. €"
Sunderland AFC,42,"24,3",26,"112,50 Mill. €","2,68 Mill. €"
AFC Bournemouth,41,"23,4",16,"103,50 Mill. €","2,52 Mill. €"
Burnley FC  ,36,"25,7",14,"81,80 Mill. €","2,27 Mill. €"
Total,791,"24,2 Years",498,"5,38 Bill. €","6,80 Mill. €"
