Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,Squad_Home,Age_Home,Foreigners_Home,Total Market Value_Home,Average Market Value_Home,Squad_Away,Age_Away,Foreigners_Away,Total Market Value_Away,Average Market Value_Away
E0,2010-08-14,Aston Villa,West Ham,3.0,0.0,H,2.0,0.0,H,M Dean,23.0,12.0,11.0,2.0,15.0,15.0,16.0,7.0,1.0,2.0,0.0,0.0,2.0,3.3,4.0,2011,39,25.1,20,207750000.0,5330000.0,39,25.1,23,158950000.0,4080000.0
E0,2010-08-14,Blackburn,Everton,1.0,0.0,H,1.0,0.0,H,P Dowd,7.0,17.0,2.0,12.0,19.0,14.0,1.0,3.0,2.0,1.0,0.0,0.0,2.88,3.25,2.5,2011,37,25.1,29,95100000.0,2570000.0,32,23.9,21,178530000.0,5580000.0
E0,2010-08-14,Bolton,Fulham,0.0,0.0,D,0.0,0.0,D,S Attwell,13.0,12.0,9.0,7.0,12.0,13.0,4.0,8.0,1.0,3.0,0.0,0.0,2.2,3.3,3.4,2011,34,25.4,18,93400000.0,2750000.0,34,27.5,27,111950000.0,3290000.0
E0,2010-08-14,Chelsea,West Brom,6.0,0.0,H,2.0,0.0,H,M Clattenburg,18.0,10.0,13.0,4.0,10.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,1.17,7.0,17.0,2011,33,24.5,22,446150000.0,13520000.0,37,24.3,24,85030000.0,2300000.0
E0,2010-08-14,Sunderland,Birmingham,2.0,2.0,D,1.0,0.0,H,A Taylor,6.0,13.0,2.0,7.0,13.0,10.0,3.0,6.0,3.0,3.0,1.0,0.0,2.1,3.3,3.6,2011,39,23.7,20,137330000.0,3520000.0,34,25.8,18,102900000.0,3030000.0
E0,2010-08-14,Tottenham,Man City,0.0,0.0,D,0.0,0.0,D,A Marriner,22.0,11.0,18.0,7.0,13.0,16.0,10.0,3.0,0.0,2.0,0.0,0.0,2.4,3.3,3.0,2011,38,24.7,21,296000000.0,7790000.0,45,23.4,27,382530000.0,8500000.0
E0,2010-08-14,Wigan,Blackpool,0.0,4.0,A,0.0,3.0,A,M Halsey,11.0,9.0,6.0,7.0,8.0,11.0,6.0,4.0,1.0,1.0,0.0,0.0,1.83,3.5,4.5,2011,35,24.0,24,72100000.0,2060000.0,45,24.3,23,38100000.0,886000.0
E0,2010-08-14,Wolves,Stoke,2.0,1.0,H,2.0,0.0,H,L Probert,13.0,10.0,7.0,6.0,17.0,13.0,5.0,5.0,0.0,2.0,0.0,0.0,2.3,3.25,3.2,2011,42,23.7,23,76800000.0,1830000.0,33,27.0,20,96400000.0,2920000.0
E0,2010-08-15,Liverpool,Arsenal,1.0,1.0,D,0.0,0.0,D,M Atkinson,7.0,14.0,4.0,7.0,13.0,15.0,9.0,11.0,1.0,3.0,1.0,1.0,2.5,3.25,2.88,2011,42,23.5,25,365500000.0,8700000.0,34,23.4,27,304380000.0,8950000.0
E0,2010-08-16,Man United,Newcastle,3.0,0.0,H,2.0,0.0,H,C Foy,18.0,7.0,10.0,3.0,9.0,5.0,5.0,3.0,2.0,2.0,0.0,0.0,1.25,5.5,15.0,2011,43,24.1,29,384150000.0,8930000.0,38,23.7,17,95650000.0,2520000.0
E0,2010-08-21,Arsenal,Blackpool,6.0,0.0,H,3.0,0.0,H,M Jones,26.0,3.0,16.0,1.0,9.0,3.0,8.0,2.0,0.0,0.0,0.0,1.0,1.17,7.0,19.0,2011,34,23.4,27,304380000.0,8950000.0,45,24.3,23,38100000.0,886000.0
