Season,HomeTeam,AwayTeam,HomeWageBill,AwayWageBill
2010,Aston Villa,Wigan,80,39
2010,Blackburn,Man City,47,133
2010,Bolton,Sunderland,46,54
2010,Chelsea,Hull,174,38
2010,Everton,Arsenal,54,111
2010,Portsmouth,Fulham,32,49
2010,Stoke,Burnley,45,22
2010,Wolves,West Ham,30,54
2010,Man United,Birmingham,132,37
2010,Tottenham,Liverpool,67,121
2010,Sunderland,Chelsea,54,174
2010,Wigan,Wolves,39,30
2010,Birmingham,Portsmouth,37,32
2010,Burnley,Man United,22,132
2010,Hull,Tottenham,38,67
2010,Liverpool,Stoke,121,45
2010,Arsenal,Portsmouth,111,32
2010,Birmingham,Stoke,37,45
2010,Hull,Bolton,38,46
2010,Man City,Wolves,133,30
2010,Sunderland,Blackburn,54,47
2010,Wigan,Man United,39,132
2010,Burnley,Everton,22,54
2010,Fulham,Chelsea,49,174
2010,West Ham,Tottenham,54,67
2010,Liverpool,Aston Villa,121,80
2010,Blackburn,West Ham,47,54
2010,Bolton,Liverpool,46,121
2010,Chelsea,Burnley,174,22
2010,Man United,Arsenal,132,111
2010,Stoke,Sunderland,45,54
2010,Tottenham,Birmingham,67,37
2010,Wolves,Hull,30,38
2010,Aston Villa,Fulham,80,49
2010,Everton,Wigan,54,39
2010,Portsmouth,Man City,32,133
2010,Blackburn,Wolves,47,30
2010,Liverpool,Burnley,121,22
2010,Man City,Arsenal,133,111
2010,Portsmouth,Bolton,32,46
2010,Stoke,Chelsea,45,174
2010,Sunderland,Hull,54,38
2010,Tottenham,Man United,67,132
2010,Wigan,West Ham,39,54
2010,Birmingham,Aston Villa,37,80
2010,Fulham,Everton,49,54
2010,Arsenal,Wigan,111,39
2010,Aston Villa,Portsmouth,80,32
2010,Bolton,Stoke,46,45
2010,Burnley,Sunderland,22,54
2010,Hull,Birmingham,38,37
2010,West Ham,Liverpool,54,121
2010,Chelsea,Tottenham,174,67
2010,Everton,Blackburn,54,47
2010,Man United,Man City,132,133
2010,Wolves,Fulham,30,49
2010,Birmingham,Bolton,37,46
2010,Blackburn,Aston Villa,47,80
2010,Fulham,Arsenal,49,111
2010,Liverpool,Hull,121,38
2010,Portsmouth,Everton,32,54
2010,Stoke,Man United,45,132
2010,Tottenham,Burnley,67,22
2010,Wigan,Chelsea,39,174
2010,Sunderland,Wolves,54,30
2010,Man City,West Ham,133,54
2010,Bolton,Tottenham,46,67
2010,Burnley,Birmingham,22,37
2010,Hull,Wigan,38,39
2010,Man United,Sunderland,132,54
2010,Wolves,Portsmouth,30,32
2010,Arsenal,Blackburn,111,47
2010,Chelsea,Liverpool,174,121
2010,Everton,Stoke,54,45
2010,West Ham,Fulham,54,49
2010,Aston Villa,Man City,80,133
2010,Arsenal,Birmingham,111,37
2010,Aston Villa,Chelsea,80,174
2010,Everton,Wolves,54,30
2010,Man United,Bolton,132,46
2010,Portsmouth,Tottenham,32,67
2010,Stoke,West Ham,45,54
2010,Sunderland,Liverpool,54,121
2010,Blackburn,Burnley,47,22
2010,Wigan,Man City,39,133
2010,Fulham,Hull,49,38
2010,Birmingham,Sunderland,37,54
2010,Burnley,Wigan,22,39
2010,Chelsea,Blackburn,174,47
2010,Hull,Portsmouth,38,32
2010,Tottenham,Stoke,67,45
2010,Wolves,Aston Villa,30,80
2010,Bolton,Everton,46,54
2010,Liverpool,Man United,121,132
2010,Man City,Fulham,133,49
2010,West Ham,Arsenal,54,111
2010,Arsenal,Tottenham,111,67
2010,Bolton,Chelsea,46,174
2010,Burnley,Hull,22,38
2010,Everton,Aston Villa,54,80
2010,Fulham,Liverpool,49,121
2010,Man United,Blackburn,132,47
2010,Portsmouth,Wigan,32,39
2010,Stoke,Wolves,45,30
2010,Sunderland,West Ham,54,54
2010,Birmingham,Man City,37,133
2010,West Ham,Aston Villa,54,80
2010,Aston Villa,Bolton,80,46
2010,Blackburn,Portsmouth,47,32
2010,Man City,Burnley,133,22
2010,Tottenham,Sunderland,67,54
2010,Wolves,Arsenal,30,111
2010,Chelsea,Man United,174,132
2010,Hull,Stoke,38,45
2010,West Ham,Everton,54,54
2010,Wigan,Fulham,39,49
