Season,HomeTeam,AwayTeam,HomeTeamPopularity,AwayTeamPopularity
2010,Aston Villa,Wigan,64,80.5
2010,Blackburn,Man City,88.25,55.125
2010,Bolton,Sunderland,88.875,89.875
2010,Chelsea,Hull,52.625,84.25
2010,Everton,Arsenal,84.625,79.875
2010,Portsmouth,Fulham,89.75,75.5
2010,Stoke,Burnley,89,65.5
2010,Wolves,West Ham,86.5,38
2010,Man United,Birmingham,71.25,88.75
2010,Tottenham,Liverpool,77.75,88
2010,Sunderland,Chelsea,88.25,63.375
2010,Wigan,Wolves,61.125,76.875
2010,Birmingham,Portsmouth,91.125,85.375
2010,Burnley,Man United,71.875,47.25
2010,Hull,Tottenham,56.75,41.375
2010,Liverpool,Stoke,74.875,71.5
2010,Arsenal,Portsmouth,64.125,88.375
2010,Birmingham,Stoke,95,50.625
2010,Hull,Bolton,59.625,88.25
2010,Man City,Wolves,69.75,71.125
2010,Sunderland,Blackburn,60.625,58.25
2010,Wigan,Man United,64.125,64
2010,Burnley,Everton,35.125,42.875
2010,Fulham,Chelsea,86.875,61.375
2010,West Ham,Tottenham,56.625,43.625
2010,Liverpool,Aston Villa,80.75,63
2010,Blackburn,West Ham,92.5,39.625
2010,Bolton,Liverpool,95.5,72.125
2010,Chelsea,Burnley,72.125,58.875
2010,Man United,Arsenal,67.25,74.75
2010,Stoke,Sunderland,68,79.375
2010,Tottenham,Birmingham,59.75,91.25
2010,Wolves,Hull,71.25,88.875
2010,Aston Villa,Fulham,40.375,54.125
2010,Everton,Wigan,67.125,42.125
2010,Portsmouth,Man City,74.875,71.125
2010,Blackburn,Wolves,84,79.375
2010,Liverpool,Burnley,91.25,81.125
2010,Man City,Arsenal,84.375,90
2010,Portsmouth,Bolton,93.75,82.875
2010,Stoke,Chelsea,80.375,83.625
2010,Sunderland,Hull,80.125,88
2010,Tottenham,Man United,89.375,81.875
2010,Wigan,West Ham,83.125,86.875
2010,Birmingham,Aston Villa,92,92.75
2010,Fulham,Everton,90.5,86.25
2010,Arsenal,Wigan,65.25,88.5
2010,Aston Villa,Portsmouth,50,89.125
2010,Bolton,Stoke,90.875,58.875
2010,Burnley,Sunderland,45.625,88.125
2010,Hull,Birmingham,92.25,91.125
