Season,Team,Outgoing Manager,Reason,Departure Date,Team Position,Incoming Manager,Appointment Date
19,Arsenal,Arsene Wenger,Resigned,2018-05-13,Pre-Season,Unai Emery,2018-05-23
19,Everton,Sam Allardyce,Sacked,2018-05-16,Pre-Season,Marco Silva,2018-05-31
19,West Ham United,David Moyes,End of contract,2018-05-16,Pre-Season,Manuel Pellegrini,2018-05-22
19,Chelsea,Antonio Conte,Sacked,2018-07-13,Pre-Season,Maurizio Sarri,2018-07-14
19,Fulham,Slavisa Jokanovic,Sacked,2018-11-14,20,Claudio Ranieri,2018-11-14
19,Southampton,Mark Hughes,Sacked,2018-12-03,18,Ralph Hasenhüttl,2018-12-05
19,Manchester United,Jose Mourinho,Sacked,2018-12-18,6,Ole Gunnar Solskjaer,2018-12-19
19,Huddersfield Town,David Wagner,Mutual consent,2019-01-14,20,Jan Siewert,2019-01-21
19,Leicester City,Claude Puel,Sacked,2019-02-24,12,Brendan Rodgers,2019-02-26
19,Fulham,Claudio Ranieri,Sacked,2019-02-28,19,Scott Parker,2019-02-28
18,Watford,Walter Mazzarri,Mutual consent,2017-05-21,Pre-Season,Marco Silva,2017-05-27
18,Crystal Palace,Sam Allardyce,Resigned,2017-05-23,Pre-Season,Frank de Boer,2017-06-26
18,Southampton,Claude Puel,Sacked,2017-06-14,Pre-Season,Mauricio Pellegrino,2017-06-23
18,Crystal Palace,Frank de Boer,Sacked,2017-09-11,19,Roy Hodgson,2017-09-12
18,Leicester City,Craig Shakespeare,Sacked,2017-10-17,18,Claude Puel,2017-10-25
18,Everton,Ronald Koeman,Sacked,2017-10-23,18,Sam Allardyce,2017-11-30
18,West Ham United,Slaven Bilic,Sacked,2017-11-06,18,David Moyes,2017-11-07
18,West Bromwich Albion,Tony Pulis,Sacked,2017-11-20,17,Alan Pardew,2017-11-29
18,Swansea City,Paul Clement,Sacked,2017-12-20,20,Carlos Carvalhal,2017-12-28
18,Stoke City,Mark Hughes,Sacked,2018-01-06,18,Paul Lambert,2018-01-15
18,Watford,Marco Silva,Sacked,2018-01-21,10,Javi Gracia,2018-01-21
18,Southampton,Mauricio Pellegrino,Sacked,2018-03-12,17,Mark Hughes,2018-03-14
18,West Bromwich Albion,Alan Pardew,Mutual consent,2018-04-02,20,Darren Moore,2018-04-02
17,Manchester United,Louis van Gaal,Sacked,2016-05-23,Pre-Season,Jose Mourinho,2016-05-27
17,Southampton,Ronald Koeman,Signed by another team,2016-06-14,Pre-Season,Claude Puel,2016-06-30
17,Everton,David Unsworth,End of caretaker spell,2016-06-14,Pre-Season,Ronald Koeman,2016-06-14
17,Chelsea,Guus Hiddink,End of caretaker spell,2016-06-30,Pre-Season,Antonio Conte,2016-07-01
17,Manchester City,Manuel Pellegrini,End of contract,2016-06-30,Pre-Season,Pep Guardiola,2016-07-01
17,Watford,Quique Sanchez Flores,Mutual consent,2016-06-30,Pre-Season,Walter Mazzarri,2016-07-01
17,Hull City,Steve Bruce,Resigned,2016-07-22,Pre-Season,Mike Phelan,2016-07-22
17,Sunderland,Sam Allardyce,Signed by another team,2016-07-22,Pre-Season,David Moyes,2016-07-23
17,Swansea City,Francesco Guidolin,Sacked,2016-10-03,17,Bob Bradley,2016-10-03
17,Crystal Palace,Alan Pardew,Sacked,2016-12-22,17,Sam Allardyce,2016-12-23
17,Swansea City,Bob Bradley,Sacked,2016-12-27,19,Paul Clement,2017-01-02
17,Hull City,Mike Phelan,Sacked,2017-01-03,20,Marco Silva,2017-01-05
17,Leicester City,Claudio Ranieri,Sacked,2017-02-23,17,Craig Shakespeare,2017-03-12
17,Middlesbrough,Aitor Karanka,Mutual consent,2017-03-16,19,Garry Monk,2017-06-09
16,West Ham United,Sam Allardyce,End of contract,2015-05-24,Pre-Season,Slaven Bilic,2015-06-09
16,Watford,Slavisa Jokanovic,End of contract,2015-06-05,Pre-Season,Quique Sánchez Flores,2015-06-05
16,Newcastle United,John Carver,Sacked,2015-06-09,Pre-Season,Steve McClaren,2015-06-10
16,Leicester City,Nigel Pearson,Sacked,2015-06-30,Pre-Season,Claudio Ranieri,2015-07-13
16,Sunderland,Dick Advocaat,Resigned,2015-10-04,19,Sam Allardyce,2015-10-09
16,Liverpool,Brendan Rodgers,Sacked,2015-10-04,10,Jürgen Klopp,2015-10-08
16,Aston Villa,Tim Sherwood,Sacked,2015-10-25,19,Remi Garde,2015-11-02
16,Swansea City,Garry Monk,Sacked,2015-12-09,15,Alan Curtis,2016-01-07
16,Chelsea,Jose Mourinho,Sacked,2015-12-17,16,Guus Hiddink,2015-12-19
16,Swansea City,Alan Curtis,End of caretaker spell,2016-01-18,18,Francesco Guidolin,2016-01-18
16,Newcastle United,Steve McClaren,Sacked,2016-03-11,19,Rafael Benitez,2016-03-11
16,Aston Villa,Remi Garde,Mutual consent,2016-03-29,20,Eric Black,2016-03-29
16,Everton,Roberto Martínez,Sacked,2016-05-12,12,Ronald Koeman,2016-06-14
15,West Bromwich Albion,Pepe Mel,Mutual consent,2014-05-12,Pre-Season,Alan Irvine,2014-06-14
15,Tottenham Hotspur,Tim Sherwood,Sacked,2014-05-13,Pre-Season,Mauricio Pochettino,2014-05-27
15,Southampton,Mauricio Pochettino,Signed by another team,2014-05-27,Pre-Season,Ronald Koeman,2014-06-16
